@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,geography,units,Frequency,Geography,Units
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2008,2008-01-01,86767.47016885792,86767.47016885792,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2009,2009-01-01,85716.22519216438,85716.22519216438,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2010,2010-01-01,87317.27822534885,87317.27822534885,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2011,2011-01-01,88481.5641186452,88481.5641186452,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2012,2012-01-01,90769.35775997322,90769.35775997322,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2013,2013-01-01,91305.82011806667,91305.82011806667,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2014,2014-01-01,93899.4744094,93899.4744094,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2015,2015-01-01,96629.23577778492,96629.23577778492,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2016,2016-01-01,97116.43366496103,97116.43366496103,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2017,2017-01-01,97797.04021960973,97797.04021960973,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2018,2018-01-01,100494.29928876681,100494.29928876681,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2019,2019-01-01,100234.96631206493,100234.96631206493,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2020,2020-01-01,93865.75407065998,93865.75407065998,A,wld,thou,Annual,WLD,thousand barrels per day
annual,EIA,INTL,International Energy Data,53-1-WORL-TBPD.A,"Petroleum and other liquids production, World, Annual — thousand barrels per day",2021,2021-01-01,95695.39487559417,95695.39487559417,A,wld,thou,Annual,WLD,thousand barrels per day
